airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-28,00:05,00:02,B,107,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-06-28,00:05,00:03,C,130,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-28,00:10,00:10,B,106,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-28,00:10,00:49,C,126,AlMasria,UJ 614,Sharm el Sheikh,SSH
SVO,2026-06-28,00:10,00:05,C,129,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-06-28,00:15,00:15,B,122,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-28,00:15,00:15,C,134,Aeroflot,SU 1876,Bukhara,BHK
SVO,2026-06-28,00:20,00:17,C,125,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-06-28,00:20,01:22,D,1,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-28,00:25,02:54,C,146,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-28,00:25,02:00,D,3,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-28,00:30,00:24,B,102,"Rossiya,Aeroflot","FV 6951,SU 6951",Saint-Petersburg,LED
SVO,2026-06-28,00:30,00:27,B,113,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-28,00:35,00:46,B,112,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-28,00:35,00:30,B,120,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-28,00:40,00:32,B,108,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-28,00:40,00:31,B,119,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-28,00:40,00:40,B,121,Aeroflot,SU 1456,Kemerovo,KEJ
SVO,2026-06-28,00:45,00:44,B,110,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-28,00:45,01:15,D,3,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-06-28,00:55,01:58,B,114,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-06-28,01:00,00:59,B,101,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-06-28,01:00,01:42,B,107,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-06-28,01:00,00:55,C,145,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-06-28,01:05,01:05,B,117,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-06-28,01:05,01:00,C,128,Aeroflot,SU 1894,Osh,OSS
SVO,2026-06-28,01:10,01:10,C,142,Air Stork,2S 12,Antalya,AYT
SVO,2026-06-28,01:15,01:15,C,124,Aeroflot,SU 2164,Antalya,AYT
SVO,2026-06-28,01:15,01:09,C,137,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-06-28,01:20,01:30,B,103,Aeroflot,SU 1708,Vladivostok,VVO
SVO,2026-06-28,01:25,01:25,C,138,Aeroflot,SU 424,Hurghada,HRG
SVO,2026-06-28,01:30,01:30,B,104,Aeroflot,SU 1426,Chelyabinsk,CEK
SVO,2026-06-28,01:30,01:27,B,116,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-06-28,01:30,01:27,B,118,"Rossiya,Aeroflot","FV 6907,SU 6907",Chelyabinsk,CEK
SVO,2026-06-28,01:35,01:30,B,102,Aeroflot,SU 1436,Ekaterinburg,SVX
SVO,2026-06-28,01:40,01:36,B,105,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-06-28,01:45,02:01,B,101,Aeroflot,SU 1472,Nizhnevartovsk,NJC
SVO,2026-06-28,01:50,01:47,C,129,Aeroflot,SU 1936,Qaraghandy,KGF
SVO,2026-06-28,01:55,02:07,B,111,Aeroflot,SU 1582,Gorno-Altaysk,RGK
